carrera,codigo_asignatura,nombre_archivo,ruta_archivo,tipo_documento,estado
Ingeniería Civil Industrial,AEA920,AEA920.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA920.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN995,EIN995.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN995.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN906,EIN906.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN906.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN908,EIN908.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN908.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,LCE003,LCE003.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/LCE003.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,CAM820,CAM820.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/CAM820.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA325,AEA325.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA325.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN606,EIN606.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN606.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN106,EIN106.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN106.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,EIN996,EIN996.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/EIN996.pdf,programa_asignatura,disponible
