codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA980,Taller de Consultoría,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA504 y AEA555 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA980,Taller de Consultoría,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA504 y AEA555 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA980,Taller de Consultoría,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA504 y AEA555 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA920,Gestión de Empresas de Nuevos Negocios,AEA240,Emprendimiento y Negocios,Prerrequisito,documentos/semestre_09/09_AEA920_gestion_de_empresas_de_nuevos_negocios.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA240 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA783,Gestión de Marcas,AEA364,Marketing Operacional,Prerrequisito,documentos/semestre_09/09_AEA783_gestion_de_marcas.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA503 y AEA364 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA783,Gestión de Marcas,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_09/09_AEA783_gestion_de_marcas.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA503 y AEA364 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA394,Instrumentos de Inversión,AEA694,Finanzas Corporativas,Prerrequisito,documentos/semestre_09/09_AEA394_instrumentos_de_inversion.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA694 )o ( AEA145 )o ( AEA104 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA988,Taller de Desarrollo de Carrera,,,Sin prerrequisito,documentos/semestre_09/09_AEA988_taller_de_desarrollo_de_carrera.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA404,Financiamiento de Inversiones,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_10/10_AEA404_financiamiento_de_inversiones.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito AEA694 y AEA555 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA404,Financiamiento de Inversiones,AEA694,Finanzas Corporativas,Prerrequisito,documentos/semestre_10/10_AEA404_financiamiento_de_inversiones.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito AEA694 y AEA555 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA520,Responsabilidad Social Corporativa,,,No detectado,documentos/semestre_10/10_AEA520_responsabilidad_social_corporativa.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AEA131 )o ( AEA550 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",No aplica
AEA540,Decisiones y Simulación,AEA425,Econometría,Prerrequisito,documentos/semestre_10/10_AEA540_decisiones_y_simulacion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA792 y AES500 )o ( AEA425 )o ( MIN211 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA540,Decisiones y Simulación,AES500,Probabilidad y Estadística,Prerrequisito,documentos/semestre_10/10_AEA540_decisiones_y_simulacion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA792 y AES500 )o ( AEA425 )o ( MIN211 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA040,Taller Aplicado a Administración,AEA325,Dirección Estratégica,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA555 y AEA325 y AEA790 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA040,Taller Aplicado a Administración,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA555 y AEA325 y AEA790 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA040,Taller Aplicado a Administración,AEA790,Control de Gestión,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA555 y AEA325 y AEA790 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
