codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA503,Marketing Estratégico,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_04/04_AEA503_marketing_estrategico.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA320 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA420,Taller de Liderazgo y Desarrollo Personal,AEA011,Introducción a los Negocios,Prerrequisito,documentos/semestre_04/04_AEA420_taller_de_liderazgo_y_desarrollo_personal.pdf,28/12/2022 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE Requisito ( AEA131 o AGR124 o AEA193 o AEA152 o MIN211 o PDR110 o ING120 o AEA011 o AEA011 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
LCE003,Inglés III,LCE002,Inglés II,Prerrequisito,documentos/semestre_04/04_LCE003_ingles_iii.pdf,"ativa BLENDED (SEMI-PRESENCIAL) Régimen Asignatura EXECUTIVE, ON-LINE Requisito ( LCE002 o WSI200 o EDI105 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA504,Introducción a las Finanzas,AUD100,Contabilidad I,Prerrequisito,documentos/semestre_04/04_AEA504_introduccion_a_las_finanzas.pdf,"ED (SEMI-PRESENCIAL) Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AUD222 o AUD200 o AEA193 o AEA152 o EIN105 o TUR292 o AEA131 o AUD100 )o MAT1007 o MAT1077 )y ( MAT1107 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA504,Introducción a las Finanzas,AUD222,Contabilidad para la Gestión,Prerrequisito,documentos/semestre_04/04_AEA504_introduccion_a_las_finanzas.pdf,"ED (SEMI-PRESENCIAL) Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AUD222 o AUD200 o AEA193 o AEA152 o EIN105 o TUR292 o AEA131 o AUD100 )o MAT1007 o MAT1077 )y ( MAT1107 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AES500,Probabilidad y Estadística,MAT100,Matemática General,Prerrequisito,documentos/semestre_04/04_AES500_probabilidad_y_estadistica.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( MAT100 o MAT110 o MAT333 o MAT107 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA214,Microeconomía I,AEA220,Economía,Prerrequisito,documentos/semestre_04/04_AEA214_microeconomia_i.pdf,"a E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE, ON-LINE Requisito ( AEA220 y MAT333 )o ( MAT170 y AEA220 )o ( ADP102 y MAT116 )o ( MAT116 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA214,Microeconomía I,MAT170,Cálculo Diferencial,Prerrequisito,documentos/semestre_04/04_AEA214_microeconomia_i.pdf,"a E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE, ON-LINE Requisito ( AEA220 y MAT333 )o ( MAT170 y AEA220 )o ( ADP102 y MAT116 )o ( MAT116 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA316,Macroeconomía I,AEA220,Economía,Prerrequisito,documentos/semestre_05/05_AEA316_macroeconomia_i.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA220 o AEA295 o AEA255 )o ( MAT116 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AES510,Inferencia Estadística,AES500,Probabilidad y Estadística,Prerrequisito,documentos/semestre_05/05_AES510_inferencia_estadistica.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AES500 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
EIN810,Gestión de la Calidad,AES500,Probabilidad y Estadística,Prerrequisito,documentos/semestre_05/05_EIN810_gestion_de_la_calidad.pdf,14/02/2023 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE Requisito ( AES500 )o ( AES100 y AES101 )o ( AEA293 y AEA204 )o ( AES100 y AEA204 )o ( AES253 y AES204 )o ( AES293 y AES101 )o ( AES253 y AES101 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
DER700,Derecho Empresarial,,,Sin prerrequisito,documentos/semestre_05/05_DER700_derecho_empresarial.pdf,"ducativa TRADICIONAL Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA364,Marketing Operacional,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_05/05_AEA364_marketing_operacional.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AUD444 o AEA193 o AEA152 o EIN105 o TUR191 )o ( AEA504 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA364,Marketing Operacional,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_05/05_AEA364_marketing_operacional.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AUD444 o AEA193 o AEA152 o EIN105 o TUR191 )o ( AEA504 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA364,Marketing Operacional,AUD444,Costos,Prerrequisito,documentos/semestre_05/05_AEA364_marketing_operacional.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( AUD444 o AEA193 o AEA152 o EIN105 o TUR191 )o ( AEA504 y AEA503 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA315,Microeconomía II,AEA214,Microeconomía I,Prerrequisito,documentos/semestre_06/06_AEA315_microeconomia_ii.pdf,07/03/2023 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE Requisito ( AEA214 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
AEA605,Dirección Estratégica de RRHH,,,No detectado,documentos/semestre_06/06_AEA605_direccion_estrategica_de_rrhh.pdf,"3 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE, ON-LINE Requisito ( AEA131 o EIN105 o MIN511 o TUR191 o AGR910 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",No aplica
AUD814,Planificación y Gestión Tributaria,AUD100,Contabilidad I,Prerrequisito,documentos/semestre_06/06_AUD814_planificacion_y_gestion_tributaria.pdf,"d Educativa TRADICIONAL Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AUD100 o AUD104 o AUD154 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA425,Econometría,AEA214,Microeconomía I,Prerrequisito,documentos/semestre_06/06_AEA425_econometria.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA214 y AES510 )o ( AES100 y AES101 )o ( AEA293 y AES204 )o ( AEA293 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA425,Econometría,AES510,Inferencia Estadística,Prerrequisito,documentos/semestre_06/06_AEA425_econometria.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA214 y AES510 )o ( AES100 y AES101 )o ( AEA293 y AES204 )o ( AEA293 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA513,Marketing de Servicios,AEA364,Marketing Operacional,Prerrequisito,documentos/semestre_06/06_AEA513_marketing_de_servicios.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA503 y AEA364 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
